0,8,5,100000,100000,-1,1
1,8,5,100000,100000,0,1
2,4,10,100000,100000,1,2
3,4,12,100000,100000,2,2
4,2,14,100000,100000,3,3
5,2,15,100000,100000,4,3
6,1,9,100000,100000,5,4
7,1,10,100000,100000,6,4
8,8,5,100000,100000,-1,1
9,8,5,100000,100000,8,1
10,4,10,100000,100000,9,2
11,4,12,100000,100000,10,2
12,2,14,100000,100000,11,3
13,2,15,100000,100000,12,3
14,1,9,100000,100000,13,4
15,1,10,100000,100000,14,4
16,8,5,100000,100000,-1,1
17,8,5,100000,100000,16,1
18,4,10,100000,100000,17,2
19,4,12,100000,100000,18,2
20,2,14,100000,100000,19,3
21,2,15,100000,100000,20,3
22,1,9,100000,100000,21,4
23,1,10,100000,100000,22,4
